This list is translated from
http://www.pekori.jp/%7Eemonoya/faq/chara/spell_g4.html.
Spell name suggestions found at
https://namingschemes.com/Wizardry_I-V_Spells

MAGE SPELLS
===========
| Lv | Name      | Use | Description                                    | En. |
|    |           |     | or undead enemies.                             |    |
| 5  | Di        | C   | Revive "dead" ally. This works exactly like    | N  |
|    |           |     | the temple in town.                            |    |
| 5  | Bamordi   | B   | Summon one of the following monsters (random)  | Y  |
|    |           |     | *Oysters *Wight *Scrub *Murphy's Ghost         |    |
|    |           |     | *Vampire Road *Khobu *Ghost                    |    |
|----|-----------|-----|------------------------------------------------|----|
| 6  | Madi      | BC  | Totally recover HP of one ally and treat all   | Y  |
|    |           |     | conditions except death/ash/lost.              |    |
| 6  | Labadi    | B   | Drains all but 1-8 HP from a monster and       | Y  |
|    |           |     | transfers that life to the caster.             |    |
| 6  | Loktofeit | BC  | See note #1 below.                             | N  |
| 6  | Mogato    | B   | Banish/kill one group of demons.               | N  |
|----|-----------|-----|------------------------------------------------|----|
| 7  | Mabariko  | B   | 18 to 60 damage to all enemies.                | Y  |
| 7  | Kadolto   | C   | Revive one party member from death or ash with | N  |
|    |           |     | full HP.                                       |    |
| 7  | Bakadi    | B   | Kills one group of enemies instantly. Not eff- | Y  |
|    |           |     | ective on undead/immortal enemies.             |    |
| 7  | Madial    | BC  | Recover 10-50HP for all party members.         | Y  |
|----|-----------|-----|------------------------------------------------|----|

Notes:
1) "Loktofeit" returns the party to town immediately. In Wizardry 1-4, the party
leaves behind all equipment and most of their gold. In Wizardry 5+, the party is
returned to town with all equipment and gold, but the spell is forgotten by the
caster and must be re-learned, and there is a chance that the spell won't work
when cast.
